2026-04-14 17:49:38,0,0,0.0,0.0,0.0,0
2026-04-14 17:49:39,0,0,0.0,0.0,0.0,0
2026-04-14 17:49:39,0,0,0.0,0.0,0.0,0
2026-04-14 17:49:40,0,0,0.0,0.0,0.0,0
2026-04-14 17:49:40,0,0,0.0,0.0,0.0,0
2026-04-14 17:49:41,1,0,1.11,0.0,10.0,0
2026-04-14 17:49:41,2,0,2.22,0.0,4.0,0
2026-04-14 17:49:42,2,0,2.22,0.0,4.0,0
2026-04-14 17:49:42,2,0,2.22,0.0,4.0,0
2026-04-14 17:49:43,2,0,2.22,0.0,4.0,0
2026-04-14 17:49:43,3,0,3.33,0.0,6.0,0
2026-04-14 17:49:44,3,0,3.33,0.0,6.0,0
2026-04-14 17:49:44,5,0,5.56,0.0,10.0,0
2026-04-14 17:49:45,5,0,5.56,0.0,18.0,0
2026-04-14 17:49:45,5,0,5.56,0.0,18.0,0
2026-04-14 17:49:46,5,0,5.56,0.0,26.0,0
2026-04-14 17:49:46,5,0,5.56,0.0,26.0,0
2026-04-14 17:49:47,5,0,5.56,0.0,26.0,0
2026-04-14 17:49:47,7,0,7.78,0.0,30.0,0
2026-04-14 17:49:48,7,0,7.78,0.0,30.0,0
2026-04-14 17:49:48,8,0,8.89,0.0,24.0,0
2026-04-14 17:49:49,8,0,8.89,0.0,32.0,0
2026-04-14 17:49:49,8,0,8.89,0.0,32.0,0
2026-04-14 17:49:50,10,0,11.11,0.0,52.0,0
2026-04-14 17:49:50,10,0,11.11,0.0,36.0,0
2026-04-14 17:49:51,10,0,11.11,0.0,36.0,0
2026-04-14 17:49:51,10,0,11.11,0.0,36.0,0
2026-04-14 17:49:52,10,0,11.11,0.0,44.0,0
2026-04-14 17:49:52,10,0,11.11,0.0,44.0,0
2026-04-14 17:49:53,10,0,11.11,8.77,52.0,1
2026-04-14 17:49:53,12,0,13.33,8.77,48.0,1
2026-04-14 17:49:54,12,0,13.33,8.77,48.0,1
2026-04-14 17:49:54,12,0,13.33,8.77,48.0,1
2026-04-14 17:49:55,12,0,13.33,8.77,56.0,1
2026-04-14 17:49:55,12,0,13.33,8.77,64.0,1
2026-04-14 17:49:56,12,0,13.33,8.77,72.0,1
2026-04-14 17:49:56,14,0,15.56,8.77,76.0,1
