Timestamp,Active_Cars,Roadblocks,Congestion_Percent,Average_Time_Sec,Emissions_Est,Throughput_CPM,Spawn_Rate_CPM
2026-04-15 23:42:02,0,0,0.0,0.0,0.0,0,0
2026-04-15 23:42:03,0,0,0.0,0.0,0.0,0,0
2026-04-15 23:42:03,0,0,0.0,0.0,0.0,0,0
2026-04-15 23:42:04,0,0,0.0,0.0,0.0,0,0
2026-04-15 23:42:04,0,0,0.0,0.0,0.0,0,0
2026-04-15 23:42:05,1,0,1.11,0.0,10.0,0,1
2026-04-15 23:42:05,2,0,2.22,0.0,4.0,0,2
2026-04-15 23:42:06,2,0,2.22,0.0,4.0,0,2
2026-04-15 23:42:06,2,0,2.22,0.0,4.0,0,2
2026-04-15 23:42:07,2,0,2.22,0.0,4.0,0,2
2026-04-15 23:42:07,3,0,3.33,0.0,6.0,0,3
2026-04-15 23:42:08,3,0,3.33,0.0,6.0,0,3
2026-04-15 23:42:08,5,0,5.56,0.0,18.0,0,5
2026-04-15 23:42:09,7,0,7.78,0.0,22.0,0,7
2026-04-15 23:42:10,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:10,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:10,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:11,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:11,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:12,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:12,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:13,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:13,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:14,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:14,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:15,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:15,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:16,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:16,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:17,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:17,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:18,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:18,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:19,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:19,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:20,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:20,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:21,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:21,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:34,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:35,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:35,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:36,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:36,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:37,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:37,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:38,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:38,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:39,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:39,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:40,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:40,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:41,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:41,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:42,0,0,0.0,0.0,0.0,0,7
2026-04-15 23:42:42,45,0,1.06,0.0,90.0,0,52
2026-04-15 23:42:43,45,0,1.06,0.0,90.0,0,52
2026-04-15 23:42:43,110,0,2.59,0.0,228.0,0,117
2026-04-15 23:42:44,110,0,2.59,0.0,228.0,0,117
2026-04-15 23:42:44,111,1,2.62,0.0,230.0,0,118
2026-04-15 23:42:45,156,1,3.68,0.0,320.0,0,163
2026-04-15 23:42:45,157,1,3.7,0.0,362.0,0,164
2026-04-15 23:42:46,221,1,5.21,0.0,506.0,0,228
2026-04-15 23:42:46,220,1,5.19,4.06,560.0,1,228
2026-04-15 23:42:47,220,1,5.19,4.06,584.0,1,228
2026-04-15 23:42:47,265,1,6.25,4.06,746.0,1,273
2026-04-15 23:42:48,266,1,6.27,4.06,772.0,1,274
2026-04-15 23:42:48,330,1,7.78,4.06,972.0,1,338
2026-04-15 23:42:49,331,0,7.81,4.06,1086.0,1,339
2026-04-15 23:42:49,330,0,7.78,3.81,1012.0,2,339
2026-04-15 23:42:50,375,0,8.84,3.81,1230.0,2,384
2026-04-15 23:42:50,376,0,8.87,4.9,1312.0,3,386
