Timestamp,Active_Cars,Roadblocks,Congestion_Percent,Average_Time_Sec,Emissions_Est,Throughput_CPM,Spawn_Rate_CPM
2026-04-14 18:14:02,26,0,28.89,22.59,108.0,13,39
2026-04-14 18:14:03,27,0,30.0,22.59,158.0,13,40
2026-04-14 18:14:03,28,0,31.11,22.59,136.0,13,41
2026-04-14 18:14:04,27,0,30.0,23.05,150.0,14,41
2026-04-14 18:14:04,27,0,30.0,23.05,158.0,14,41
2026-04-14 18:14:05,28,0,31.11,23.05,144.0,14,42
2026-04-14 18:14:05,28,0,31.11,23.05,152.0,14,42
2026-04-14 18:14:06,28,0,31.11,23.05,168.0,14,42
2026-04-14 18:14:06,28,0,31.11,24.15,176.0,16,44
2026-04-14 18:14:07,28,0,31.11,24.15,176.0,16,44
2026-04-14 18:14:07,27,0,30.0,24.95,166.0,17,44
2026-04-14 18:14:08,26,0,28.89,25.5,164.0,18,44
2026-04-14 18:14:08,23,0,25.56,24.21,142.0,21,44
2026-04-14 18:14:09,22,0,24.44,23.93,132.0,22,44
2026-04-14 18:14:09,23,0,25.56,24.61,158.0,23,46
2026-04-14 18:14:10,22,0,24.44,25.24,164.0,25,47
2026-04-14 18:14:10,21,0,23.33,24.68,122.0,26,47
2026-04-14 18:14:10,20,0,22.22,24.91,112.0,27,47
2026-04-14 18:14:11,20,0,22.22,24.91,96.0,27,47
